d449e502f432278f772bd672ec785d7c.py, hardcoded secret, 16
d449e502f432278f772bd672ec785d7c.py, use of shell arguments, 49
d449e502f432278f772bd672ec785d7c.py, sql injection, 22
1059524.py, ignoring except block, 87
289814198f43976aff9b.py, DEBUG True in deployment, 28
9372073.py, use of shell arguments, 4
5421a7fb52c2b61967cc.py, use of http without tls, 10
5421a7fb52c2b61967cc.py, ignoring except block, 40
5421a7fb52c2b61967cc.py, ignoring except block, 47
5421a7fb52c2b61967cc.py, ignoring except block, 50
0a509faf231cff3cdec7.py, hardcoded secret, 55
0a509faf231cff3cdec7.py, DEBUG True in deployment, 56
671f90c15ec6331598e5.py, hardcoded secret, 26
671f90c15ec6331598e5.py, use of http without tls, 19
6555809.py, hardcoded secret, 142
6555809.py, hardcoded secret, 142
844944.py, hardcoded secret, 9
844944.py, hardcoded secret, 10
844944.py, use of shell arguments, 13
844944.py, use of shell arguments, 14
844944.py, use of shell arguments, 15
1234843.py, hardcoded secret, 19
1234843.py, ignoring except block, 67
1234843.py, ignoring except block, 87
2972461.py, use of shell arguments, 42
2972461.py, use of shell arguments, 43
2972461.py, use of shell arguments, 44
1027906.py, shell injection, 11
1dab9f563fcce7ec66f2.py, use of http without tls, 15
4e97eb41e2b9a80cd5de.py, hardcoded secret, 31
4e97eb41e2b9a80cd5de.py, hardcoded secret, 31
3941973.py, hardcoded secret, 62
01c6f26da1a877f0f3003bc776a2311a.py, use of shell arguments, 62
4deac45790fa339b537a.py, use of shell arguments, 29
4deac45790fa339b537a.py, use of shell arguments, 32
4deac45790fa339b537a.py, use of shell arguments, 33
c211c1af232974f00564.py, use of shell arguments, 63
c211c1af232974f00564.py, ignoring except block, 52
1985703.py, hardcoded secret, 38
1985703.py, hardcoded secret, 39
1985703.py, hardcoded secret, 40
9356eb0550ac16818730.py, use of shell arguments, 25
9356eb0550ac16818730.py, use of shell arguments, 28
9356eb0550ac16818730.py, use of shell arguments, 28
9356eb0550ac16818730.py, use of shell arguments, 32
1835fe063c38c01cf10a141736d14a9b.py, ignoring except block, 211
d1351610477840bbbb72.py, shell injection, 52
d1351610477840bbbb72.py, shell injection, 56
8171599.py, hardcoded secret, 11
